Country,Year,Total Sales,Average Sales per Customer,Customer Concentration,Average Sales per Transaction,Unit Price
Australia,2009,271.1,135.55,2,135.55,1.917857142857143
Australia,2010,31042.399999999998,2069.4933333333333,15,913.0117647058823,2.9282059282371296
Australia,2011,136541.31,15171.256666666666,9,2576.2511320754716,2.702963286713287
Austria,2009,1918.34,959.17,2,959.17,4.091891891891892
Austria,2010,9757.49,975.749,10,443.5222727272727,2.412600422832981
Austria,2011,8473.58,847.358,10,529.59875,2.962133333333333
Bahrain,2010,805.97,402.985,2,320.17375,3.2942056074766355
Bahrain,2011,548.4,274.2,2,274.2,4.644117647058824
Belgium,2009,287.6,287.6,1,143.8,3.561111111111111
Belgium,2010,21590.74,1270.043529411765,17,449.80708333333337,2.9102083333333333
Belgium,2011,35255.61,1410.2244,25,379.0925806451613,3.084630434782609
Brazil,2010,255.67000000000002,255.67000000000002,1,255.67000000000002,1.7835
Brazil,2011,1143.6,1143.6,1,1143.6,4.45625
Canada,2010,1198.96,1198.96,1,599.48,1.9021052631578947
Canada,2011,3115.4399999999996,778.8599999999999,4,623.088,2.3975999999999997
Channel Islands,2009,989.18,989.18,1,989.18,3.737948717948718
Channel Islands,2010,23683.52,2153.0472727272727,11,816.6731034482759,4.888863636363636
Channel Islands,2011,19334.16,2416.77,8,840.6156521739131,4.022627939142462
Cyprus,2009,3503.88,1167.96,3,875.97,4.65941798941799
Cyprus,2010,8859.54,1107.4425,8,492.1966666666667,3.8692161520190025
Cyprus,2011,11440.67,1430.08375,8,880.0515384615385,5.63887619047619
Czech Republic,2011,786.74,786.74,1,393.37,1.5945833333333332
Denmark,2009,1365.66,682.83,2,682.83,3.4257142857142857
Denmark,2010,50096.87,5566.318888888889,9,2178.1247826086956,2.2726794258373206
Denmark,2011,17073.84,1897.0933333333332,9,1004.3435294117647,2.5648850574712645
EIRE,2009,17070.96,8535.48,2,987.1284210526317,4.755508771929824
EIRE,2010,326461.53,108820.51000000001,3,1168.1151170568562,3.9914226353198465
EIRE,2011,250426.77000000002,83475.59000000001,3,985.9637827715356,3.943091055384203
European Community,2011,1159.25,1159.25,1,386.4166666666667,4.242105263157895
Finland,2009,469.08000000000004,469.08000000000004,1,469.08000000000004,3.6300000000000003
Finland,2010,6979.9400000000005,1163.3233333333335,6,498.5671428571428,2.6869054441260745
Finland,2011,17501.28,1458.4399999999998,12,448.7507692307692,3.01088141025641
France,2009,5820.59,582.059,10,447.7376923076923,2.737047970479705
France,2010,133350.16,2898.9165217391305,46,594.4523451327434,2.5657223744292237
France,2011,174656.57,2079.244880952381,84,485.72750692520776,2.6560151159760226
Germany,2009,8978.15,897.8149999999999,10,528.1264705882353,2.619811320754717
Germany,2010,186442.5,2702.0652173913045,69,579.0139751552795,2.7161982585398525
Germany,2011,191686.08000000002,2061.1406451612906,93,464.1309443099273,2.6942259568204125
Greece,2009,610.95,610.95,1,610.95,2.5375609756097557
Greece,2010,13250.37,3312.5925,4,1104.1975,3.64881974248927
Greece,2011,4425.52,1106.38,4,885.1039999999999,3.6499295774647886
Iceland,2010,2035.1100000000001,2035.1100000000001,1,1017.555,2.475882352941176
Iceland,2011,3562.51,3562.51,1,593.7516666666667,2.5711333333333335
Israel,2010,3199.4,1599.7,2,1599.7,3.303108108108108
Israel,2011,7215.789999999999,2405.263333333333,3,1016.17,3.6350853242320817
Italy,2009,422.35,422.35,1,422.35,4.023684210526316
Italy,2010,13544.61,1128.7175,12,541.7844,3.433605633802817
Italy,2011,14994.09,1249.5075,12,454.36636363636364,3.740329985652797
Japan,2010,17427.09,2489.5842857142857,7,1025.1229411764707,1.9172489082969433
Japan,2011,29365.399999999998,3670.6749999999997,8,1835.3374999999999,2.066968503937008
Korea,2010,1068.1100000000001,534.0550000000001,2,534.0550000000001,2.191372549019608
Lebanon,2011,1693.88,1693.88,1,1693.88,5.387555555555555
Lithuania,2010,6495.24,6495.24,1,1082.54,2.605698924731183
Malta,2010,2686.75,2686.75,1,1343.375,3.190952380952381
Malta,2011,2052.8900000000003,1026.4450000000002,2,410.578,3.678148148148148
Netherlands,2009,13786.33,6893.165,2,2297.721666666667,2.2050666666666667
Netherlands,2010,251141.32,11415.514545454545,22,2110.431260504202,2.238317683881064
Netherlands,2011,273932.16000000003,34241.520000000004,8,3010.243516483516,2.459844375277901
Nigeria,2010,106.62,106.62,1,106.62,2.453928571428571
Norway,2009,365.31,365.31,1,365.31,4.164
Norway,2010,13329.65,4443.216666666666,3,1666.20625,1.9129856850715747
Norway,2011,28602.12,2860.212,10,953.404,3.535488888888889
Poland,2009,371.82,371.82,1,371.82,1.8263636363636364
Poland,2010,3364.14,1682.07,2,373.7933333333333,2.5362874251497005
Poland,2011,6726.49,1121.0816666666667,6,373.69388888888886,3.653690851735016
Portugal,2009,2726.58,1363.29,2,1363.29,2.740625
Portugal,2010,20285.83,1193.284117647059,17,530.8723076923077,2.8957625482625486
Portugal,2011,24553.18,1444.304705882353,17,565.0088636363636,2.523737971872687
RSA,2010,915.08,915.08,1,1173.56,2.1165420560747665
RSA,2011,985.96,985.96,1,985.96,4.333035714285715
Saudi Arabia,2011,145.92,145.92,1,145.92,2.351111111111111
Singapore,2010,3688.57,3688.57,1,922.1424999999999,3.1744247787610615
Singapore,2011,8946.69,8946.69,1,2236.6725,3.6902830188679245
Spain,2009,7754.18,1938.545,4,1550.836,3.2666810344827586
Spain,2010,36559.61,1589.5482608695652,23,664.7201818181818,2.6367906066536206
Spain,2011,53561.98,1846.964827586207,29,637.6426190476191,3.2035182795698924
Sweden,2009,285.29999999999995,285.29999999999995,1,285.29999999999995,2.0
Sweden,2010,52718.81,3514.5873333333334,15,802.9213636363636,2.1735267349260523
Sweden,2011,32870.78,4108.8475,8,1027.211875,2.005175
Switzerland,2009,469.4,469.4,1,469.4,2.7085714285714286
Switzerland,2010,41709.16,2979.2257142857147,14,1158.5877777777778,2.9537904599659286
Switzerland,2011,50969.26,2427.107619047619,21,1074.9481250000001,2.8185524215007987
Thailand,2010,3052.69,3052.69,1,1526.345,2.9602666666666666
USA,2010,4306.92,861.384,5,391.53818181818184,2.6673660714285714
USA,2011,3542.2400000000002,885.5600000000001,4,708.448,2.273446327683616
United Arab Emirates,2009,517.7,517.7,1,517.7,2.350892857142857
United Arab Emirates,2010,6410.3099999999995,2136.77,3,861.2166666666667,2.5203283582089555
United Arab Emirates,2011,1799.38,899.69,2,899.69,2.8324242424242425
United Kingdom,2009,594072.2,660.0802222222221,900,450.23341788205454,3.780890747313658
United Kingdom,2010,7069193.75,1827.1371801499095,3869,454.58821851423534,3.4434643272180816
United Kingdom,2011,6655250.85,1747.7024290966385,3808,475.8610369745875,3.226379665554875
Unspecified,2010,5925.93,1481.4825,4,560.5063636363636,3.209672131147541
Unspecified,2011,2667.0699999999997,666.7674999999999,4,364.1107692307692,2.693393258426966
West Indies,2010,536.41,536.41,1,536.41,2.2735185185185185
